Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
100126,HCA FLORIDA PASADENA HOSPITAL,2022-10-01,2023-09-30,167
100226,HCA FLORIDA ORANGE PARK HOSPITAL,2023-07-01,2024-06-30,316
100231,WEST FLORIDA HOSPITAL,2023-06-01,2024-05-31,354
100232,HCA FLORIDA PUTNAM HOSPITAL,2023-09-01,2024-08-31,82
100242,HCA FLORIDA GULF COAST HOSPITAL,2023-02-01,2024-01-31,261
100243,HCA FLORIDA BRANDON HOSPITAL,2023-01-01,2023-12-31,404
100256,HCA FLORIDA BAYONET POINT HOSPITAL,2023-03-01,2024-02-29,330
100264,HCA FLORIDA OAK HILL HOSPITAL,2023-03-01,2024-02-29,350
100320,HCA FLORIDA POINCIANA HOSPITAL,2023-07-01,2024-06-30,94
100350,UCF LAKE NONA HOSPITAL,2023-02-01,2024-01-31,64
232039,PIONEER SPECIALTY HOSPITAL,2022-10-01,2023-09-30,42
234038,STONECREST,2023-01-01,2023-12-31,182
261335,MERCY ST FRANCIS HOSPITAL,2023-07-01,2024-06-30,25
264034,SOUTHEAST BEHAVIORAL HOSPITAL,2023-09-01,2024-08-31,50
410006,NEWPORT HOSPITAL,2022-10-01,2023-09-30,66
440185,SKYRIDGE MEDICAL CENTER,2023-09-01,2024-07-31,176
100223,HCA FL FT WALTON-DESTIN HOSP,2023-06-01,2024-05-31,217
100248,HCA FLORIDA LARGO HOSPITAL,2023-03-01,2024-02-29,263
223302,CHILDRENS HOSPITAL CORPORATION,2022-10-01,2023-09-30,485
330267,NEW YORK PRESBYTERIAN HUDSON VALLEY,2023-01-01,2023-12-31,128
410012,THE MIRIAM HOSPITAL,2022-10-01,2023-09-30,247
441314,LAUDERDALE COMMUNITY HOSPITAL,2023-01-01,2023-12-31,25
100166,HCA FLORIDA SARASOTA DOCTORS HOSPITA,2023-01-01,2023-12-31,139
131324,LOST RIVERS HOSPITAL,2022-10-01,2023-09-30,14
170197,KANSAS MEDICAL CENTER,2023-01-01,2023-12-31,58
171338,GREAT PLAINS OF SABETHA  INC.,2023-01-01,2023-12-31,16
261317,MERCY HOSPITAL CASSVILLE,2023-07-01,2024-06-30,25
