Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
360132,KETTERING HEALTH HAMILTON,2023-01-01,2023-12-31,138
360352,THE SURGICAL HOSPITAL AT SOUTHWOODS,2023-01-01,2023-12-31,24
360360,SOIN MEDICAL CENTER,2023-01-01,2023-12-31,168
360367,LAKE HEALTH BEACHWOOD MEDICAL CENTER,2023-01-01,2023-12-31,24
360368,KETTERING HEALTH TROY,2023-01-01,2023-12-31,28
361330,HOCKING VALLEY,2023-01-01,2023-12-31,25
361331,FAYETTE COUNTY MEMORIAL HOSP,2023-01-01,2023-12-31,25
362024,SSH - YOUNGSTOWN,2023-01-01,2023-12-31,31
363026,HILLSIDE HOSPITAL,2023-01-01,2023-12-31,65
363305,NATIONWIDE CHILDRENS HOSPITAL,2023-01-01,2023-12-31,701
363309,NATIONWIDE CHILDRENS HOSP TOLEDO LLC,2023-01-01,2023-12-31,46
391306,ENDLESS MOUNTAINS HEALTH SYSTEMS,2023-01-01,2023-12-31,25
404007,HOSPITAL PSIQUIATRICO CABO ROJO,2023-01-01,2023-12-31,39
430097,SANFORD ABERDEEN MEDICAL CENTER,2023-01-01,2023-12-31,48
450010,UNITED REGIONAL HEALTH CARE SYSTEM,2023-01-01,2023-12-31,244
450424,SAN JACINTO METHODIST HOSPITAL,2023-01-01,2023-12-31,254
450889,TEXAS INSTITUTE  FOR SURGERY AT PRES,2023-01-01,2023-12-31,9
452022,SSH - DALLAS  INC.,2023-01-01,2023-12-31,61
520037,MARSHFIELD MEDICAL CENTER,2023-01-01,2023-12-31,215
520198,AURORA MEDICAL CENTER OSHKOSH,2023-01-01,2023-12-31,83
520207,AURORA MEDICAL CENTER GRAFTON,2023-01-01,2023-12-31,133
21301,PROVIDENCE VALDEZ MEDICAL CENTER,2023-01-01,2023-12-31,11
21302,PROVIDENCE SEWARD MEDICAL & CARE CEN,2023-01-01,2023-12-31,6
22001,ALASKA SPECIALTY HOSPITAL  LLC,2023-01-01,2023-12-31,21
42011,ADVANCED CARE HOSPITAL OF WHITE CO.,2022-10-01,2023-09-30,20
53043,PALOMAR HEALTH REHABILITATION INSTIT,2023-01-01,2023-12-31,52
53046,SACRAMENTO SIERRA REHAB HOSPITAL,2023-04-24,2023-12-31,52
60125,ADVENT HEALTH CASTLE ROCK HOSP,2023-01-01,2023-12-31,89
61327,SOUTHWEST MEMORIAL HOSPITAL,2023-01-01,2023-12-31,20
140291,GOOD SHEPHERD HOSPITAL,2023-01-01,2023-12-31,176
170198,SUMMIT SURGICAL  LLC,2023-01-01,2023-12-31,10
171374,FREDONIA REGIONAL HOSPITAL,2023-01-01,2023-12-31,25
220020,STEWARD ST. ANNES HOSPITAL,2023-01-01,2023-12-31,154
254007,BRENTWOOD BEHAVIORAL HEALTHCARE,2023-01-01,2023-12-31,105
271323,CLARK FORK VALLEY HOSPITAL,2023-01-01,2023-12-31,16
330028,RICHMOND UNIVERSITY MEDICAL CENTER,2023-01-01,2023-12-31,209
330126,GARNET HEALTH MEDICAL CENTER,2023-01-01,2023-12-31,329
330144,IRA DAVENPORT MEMORIAL HOSPITAL  INC,2023-01-01,2023-12-31,15
330157,SAMARITAN MEDICAL CENTER,2023-01-01,2023-12-31,165
330162,NORTHERN WESTCHESTER HOSPITAL,2023-01-01,2023-12-31,162
330193,FLUSHING HOSPITAL MEDICAL CENTER,2023-01-01,2023-12-31,247
330203,CROUSE HOSPITAL,2023-01-01,2023-12-31,502
330205,ST ANTHONYS COMMUNITY HOSPITAL,2023-01-01,2023-12-31,60
330208,ST. JOHNS RIVERSIDE HOSPITAL,2023-01-01,2023-12-31,319
331310,ELLENVILLE REGIONAL HOSPITAL,2023-01-01,2023-12-31,25
373033,MERCY REHABILITATION HOSPITAL OKLAHO,2023-01-01,2023-12-31,66
374012,BROOKHAVEN MEADOWBROOK HOSPITAL,2023-01-01,2023-12-31,
420011,CANNON MEMORIAL HOSPITAL,2023-01-01,2023-12-31,42
431307,SANFORD MEDICAL CENTER CLEAR LAKE,2023-01-01,2023-12-31,10
441322,HOUSTON COUNTY COMMUNITY HOSPITAL,2023-01-01,2023-12-31,25
444005,BEHAVORIAL HEALTHCARE CENTERS,2023-01-01,2023-12-31,16
444031,KNOXVILLE CENTER FOR BEHAVIORAL MEDI,2023-01-01,2023-12-31,64
450694,EL CAMPO MEMORIAL HOSPITAL,2023-01-01,2023-12-31,26
450864,TEXAS SPINE AND JOINT HOSPITAL,2023-01-01,2023-12-31,20
490004,SENTARA RMH MEDICAL CENTER,2023-01-01,2023-12-31,238
490007,SENTARA NORFOLK GENERAL HOSPITAL,2023-01-01,2023-12-31,472
490013,HALIFAX REGIONAL HOSPITAL,2023-01-01,2023-12-31,44
490018,AUGUSTA MEDICAL CENTER,2023-01-01,2023-12-31,193
490037,SHORE MEMORIAL HOSPITAL,2023-01-01,2023-12-31,52
490044,SENTARA OBICI HOSPITAL,2023-01-01,2023-12-31,186
490046,SENTARA LEIGH HOSPITAL,2023-01-01,2023-12-31,274
490050,VIRGINIA HOSPITAL CENTER ARLINGTON,2023-01-01,2023-12-31,385
490052,RIVERSIDE REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,433
490057,SENTARA VA. BEACH GENERAL HOSPITAL,2023-01-01,2023-12-31,239
490066,SENTARA WILLIAMSBURG REGIONAL MEDICA,2023-01-01,2023-12-31,123
490067,BON SECOURS SOUTHSIDE MEDICAL CENTER,2023-01-01,2023-12-31,300
490075,DANVILLE REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,205
490077,SENTARA MARTHA JEFFERSON HOSPITAL,2023-01-01,2023-12-31,150
490093,SENTARA CAREPLEX HOSPITAL,2023-01-01,2023-12-31,169
670076,HERITAGE PARK SURGICAL HOSPITAL,2023-01-01,2023-12-31,12
673076,REHAB HOSPITAL OF FLOWER MOUND,2023-01-01,2023-12-31,29
50078,PROVIDENCE LTTL CO MARY MC SAN PEDRO,2023-01-01,2023-12-31,97
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,2023-01-01,2023-12-31,512
50232,FRENCH HOSPITAL MEDICAL CENTER,2023-01-01,2023-12-31,98
50235,PROVIDENCE ST JOSEPH MEDICAL CENTER,2023-01-01,2023-12-31,368
50236,ADVENTIST HEALTH SIMI VALLEY,2023-01-01,2023-12-31,144
50239,ADVENTIST HEALTH GLENDALE,2023-01-01,2023-12-31,323
50335,ADVENTIST HEALTH SONORA,2023-01-01,2023-12-31,84
50352,BARTON MEMORIAL HOSPITAL,2023-01-01,2023-12-31,63
50357,GOLETA VALLEY COTTAGE HOSPITAL,2023-01-01,2023-12-31,24
50396,SANTA BARBARA COTTAGE HOSPITAL,2023-01-01,2023-12-31,362
50407,CHINESE HOSPITAL,2023-01-01,2023-12-31,73
50411,KFH - SOUTH BAY,2023-01-01,2023-12-31,257
50425,KFH - SACRAMENTO,2023-01-01,2023-12-31,283
50455,ADVENTIST HEALTH BAKERSFIELD,2023-01-01,2023-12-31,254
50570,FOUNTAIN VALLEY REG MEDICAL CENTER,2023-01-01,2023-12-31,400
50761,PROVIDENCE CEDARS-SINAI TARZANA MEDI,2023-01-01,2023-12-31,204
61316,SPANISH PEAKS REGIONAL HEALTH,2023-01-01,2023-12-31,20
70005,WATERBURY HOSPITAL,2023-01-01,2023-12-31,235
70012,ROCKVILLE GENERAL HOSPITAL  INC.,2023-01-01,2023-12-31,102
70027,MANCHESTER MEMORIAL HOSPITAL,2023-01-01,2023-12-31,123
100151,MAYO CLINIC FLORIDA,2023-01-01,2023-12-31,307
103046,ARCHER REHABILITATION  LLC,2023-01-01,2023-12-31,60
130065,MOUNTAIN VIEW HOSPITAL,2023-01-01,2023-12-31,43
140231,EDWARD HOSPITAL,2023-01-01,2023-12-31,294
190251,SURGICAL SPECIALTY CENTER BATON ROUG,2023-01-01,2023-12-31,16
191314,MADISON PARISH HOSPITAL,2023-01-01,2023-12-31,19
194086,OCEANS BEHAVIORAL HOSPITAL OF BATON,2023-01-01,2023-12-31,60
194096,OCEANS BEHAVIORAL HOSPITAL OF ALEXAN,2023-01-01,2023-12-31,24
194116,LOUISIANA BEHAVIORAL HEALTH,2023-01-01,2023-12-31,89
240141,FAIRVIEW NORTHLAND REG,2023-01-01,2023-12-31,34
240166,MAYO CLINIC HEALTH SYSTEM-FAIRMONT,2023-01-01,2023-12-31,37
240207,FAIRVIEW RIDGES HOSPITAL,2023-01-01,2023-12-31,172
241315,SANFORD MEDICAL CENTER JACKSON,2023-01-01,2023-12-31,14
273025,REHABILITATION HOSPITAL OF MONTANA,2023-01-01,2023-12-31,34
291306,CARSON VALLEY MEDICAL CENTER,2023-01-01,2023-12-31,23
291311,DESERT VIEW REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,25
310050,ST. CLARES  HOSPITAL,2023-01-01,2023-12-31,242
310070,ST. PETERS UNIVERSITY HOSPITAL,2023-01-01,2023-12-31,352
330006,ST. JOSEPHS MEDICAL CENTER,2023-01-01,2023-12-31,122
330056,THE BROOKLYN HOSPITAL CENTER,2023-01-01,2023-12-31,236
330086,THE MOUNT VERNON HOSPITAL,2023-01-01,2023-12-31,63
330393,STONY BROOK UNIVERSITY HOSPITAL,2023-01-01,2023-12-31,725
351329,SANFORD HILLSBORO,2023-01-01,2023-12-31,16
360080,EAST OHIO HOSPITAL  LLC,2023-01-01,2023-12-31,28
360098,LAKE HOSPITAL SYSTEM,2023-01-01,2023-12-31,257
360133,KETTERING HEALTH DAYTON,2023-01-01,2023-12-31,316
360148,POMERENE HOSPITAL,2023-01-01,2023-12-31,41
360155,SOUTHWEST GENERAL HEALTH CENTER,2023-01-01,2023-12-31,199
360159,ADENA REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,223
360197,MARY RUTAN HOSPITAL,2023-01-01,2023-12-31,39
361301,COMMUNITY MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
361314,H B MAGRUDER MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
361322,BLUFFTON HOSPITAL,2023-01-01,2023-12-31,25
431333,SANFORD MEDICAL CENTER CANTON,2023-01-01,2023-12-31,11
454154,OCEANS BEHAVIORAL HOSPITAL AMARILLO,2023-01-01,2023-12-31,28
490113,SENTARA NORTHERN VIRGINIA MED CTR,2023-01-01,2023-12-31,147
490119,SENTARA PRINCESS ANNE HOSPITAL,2023-01-01,2023-12-31,174
490130,RIVERSIDE WALTER REED,2023-01-01,2023-12-31,67
490143,RIVERSIDE DOCTORS HOSPITAL WILLIAMSB,2023-01-01,2023-12-31,40
490147,INOVA SPECIALTY HOSPITAL,2023-08-08,2024-03-31,32
493027,RIVERSIDE REHABILITATION INSTITUTE,2023-01-01,2023-12-31,50
494032,THE PAVILION AT WILLIAMSBURG PLACE,2023-01-01,2023-12-31,66
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,2023-01-01,2023-12-31,716
510030,DAVIS MEMORIAL HOSPITAL,2023-01-01,2023-12-31,90
510038,STONEWALL JACKSON MEMORIAL HOSPITAL,2023-01-01,2023-12-31,49
511312,PRESTON MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
511319,JEFFERSON MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
520038,AURORA MEDICAL CENTER - HARTFORD,2023-01-01,2023-12-31,35
520059,MEMORIAL HOSPITAL OF BURLINGTON,2023-01-01,2023-12-31,33
520102,AURORA LAKELAND MEDICAL CENTER,2023-01-01,2023-12-31,62
673074,TEMPLE REHABILITATION HOSPITAL,2023-03-01,2023-12-31,36
21306,PROV. KODIAK ISLAND MEDICAL CENTER,2023-01-01,2023-12-31,24
30065,BANNER DESERT MEDICAL CENTER,2023-01-01,2023-12-31,629
44019,SPRINGWOODS BEHAVIORAL,2023-01-01,2023-12-31,80
50047,CALIFORNIA PACIFIC MEDICAL CENTER,2023-01-01,2023-12-31,274
50515,KFH - SAN DIEGO,2023-01-01,2023-12-31,596
50690,KFH - SANTA ROSA,2023-01-01,2023-12-31,172
50704,MISSION COMMUNITY HOSPITAL,2023-01-01,2023-12-31,145
50726,STANISLAUS SURGICAL,2023-01-01,2023-12-31,23
50739,CENTINELA HOSPITAL MEDICAL CENTER,2023-01-01,2023-12-31,257
50755,SHERMAN OAKS HOSPITAL-HLTH,2023-01-01,2023-12-31,112
50758,MONTCLAIR HOSPITAL MEDICAL CENTER,2023-01-01,2023-12-31,106
50760,KFH - ANTIOCH,2023-01-01,2023-12-31,144
50765,KFH - MORENO VALLEY,2023-01-01,2023-12-31,100
50767,KFH - VACAVILLE,2023-01-01,2023-12-31,144
50784,ADVENTIST HEALTH TULARE,2023-01-01,2023-12-31,73
61307,RANGELY DISTRICT HOSPITAL,2023-01-01,2023-12-31,20
61318,KREMMLING MEMORIAL HOSPITAL DISTRICT,2023-01-01,2023-12-31,22
92003,SPEC HOSPITAL WASHINGTON HADLEY,2023-01-01,2023-12-31,82
100014,ADVENTHEALTH NEW SMYRNA BEACH,2023-01-01,2023-12-31,109
100045,ADVENTHEALTH DELAND,2023-01-01,2023-12-31,142
100072,ADVENTHEALTH FISH MEMORIAL,2023-01-01,2023-12-31,253
103039,BROOKS REHABILITATION,2023-01-01,2023-12-31,209
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM,2023-01-01,2023-12-31,674
140101,MORRIS HOSPITAL,2023-01-01,2023-12-31,89
140147,RICHLAND MEMORIAL HOSPITAL,2023-01-01,2023-12-31,47
140289,ANDERSON HOSPITAL,2023-01-01,2023-12-31,144
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,2023-01-01,2023-12-31,29
150045,PARKVIEW - DEKALB HEALTH,2023-01-01,2023-12-31,48
150065,SCHNECK MEDICAL CENTER,2023-01-01,2023-12-31,52
150086,ST ELIZABETH DEARBORN,2023-01-01,2023-12-31,50
150112,COLUMBUS REGIONAL HOSPITAL,2023-01-01,2023-12-31,213
151332,DECATUR CO. MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
171333,CLARA BARTON HOSPITAL ASSOCIATION,2023-01-01,2023-12-31,17
171336,NESS COUNTY HOSPITAL DISTRICT #2,2023-01-01,2023-12-31,25
190060,LAKE CHARLES MEMORIAL HOSPITAL,2023-01-01,2023-12-31,227
193078,SAGE REHAB HOSPITAL,2023-01-01,2023-12-31,20
200020,YORK HOSPITAL,2023-01-01,2023-12-31,54
200031,CARY MEDICAL CENTER,2023-01-01,2023-12-31,49
201311,DOWN EAST COMMUNITY HOSPITAL,2023-01-01,2023-12-31,25
220017,STEWARD CARNEY HOSPITAL  INC,2023-01-01,2023-12-31,106
220036,STEWARD ST. ELIZABETHS MEDICAL CTR,2023-01-01,2023-12-31,244
220073,MORTON HOSPITAL,2023-01-01,2023-12-31,125
220080,STEWARD HOLY FAMILY HOSPITAL,2023-01-01,2023-12-31,293
220111,GOOD SAMARITAN MEDICAL CENTER,2023-01-01,2023-12-31,208
230005,PROMEDICA HICKMAN HOSPITAL,2023-01-01,2023-12-31,58
230022,COMMUNITY HEALTH CENTER BRANCH,2023-01-01,2023-12-31,75
230099,MONROE REGIONAL HOSPITAL,2023-01-01,2023-12-31,147
240187,HUTCHINSON HEALTH CARE,2023-01-01,2023-12-31,37
241306,OLIVIA  HOSPITAL AND CLINICS,2023-01-01,2023-12-31,16
241308,LAKE VIEW MEMORIAL HOSPITAL,2023-01-01,2023-12-31,16
241311,SIBLEY MEDICAL CENTER,2023-01-01,2023-12-31,20
241316,NORTHERN ITASCA HOSPITAL DISTRICT,2023-01-01,2023-12-31,20
241329,LAKEWOOD HEALTH SYSTEM,2023-01-01,2023-12-31,25
251300,S.E. LACKEY MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
271343,PROVIDENCE ST JOSEPH MEDICAL CTR,2023-01-01,2023-12-31,22
280125,FAITH REGIONAL HEALTH SERVICES,2023-01-01,2023-12-31,122
310118,HUDSON REGIONAL HOSPITAL,2023-01-01,2023-12-31,102
313027,LAWRENCE REHAB HOSPITAL,2023-02-01,2023-12-31,60
314020,ESSEX COUNTY HOSPITAL CENTER,2023-01-01,2023-12-31,180
320011,ESPANOLA HOSPITAL,2023-01-01,2023-12-31,70
320086,LOVELACE REGIONAL HOSPITAL-ROSWELL,2023-01-01,2023-12-31,27
320090,SANTA FE MEDICAL CENTER,2023-01-01,2023-12-31,36
330019,NY COMMUNITY HOSPITAL OF BROOKLYN (D,2023-01-01,2023-12-31,134
330043,SOUTH SHORE UNIVERSITY HOSPITAL,2023-01-01,2023-12-31,312
330079,ADIRONDACK MEDICAL CENTER,2023-01-01,2023-12-31,83
330090,ARNOT-OGDEN MEDICAL CENTER,2023-01-01,2023-12-31,191
330107,PECONIC BAY MEDICAL CENTER,2023-01-01,2023-12-31,130
330154,MEMORIAL HOSPITAL FOR CANCER AND ALL,2023-01-01,2023-12-31,514
330222,SARATOGA HOSPITAL,2023-01-01,2023-12-31,171
330304,WHITE PLAINS HOSPITAL,2023-01-01,2023-12-31,292
331318,CARTHAGE AREA HOSPITAL,2023-01-01,2023-12-31,25
340001,ATRIUM HEALTH CABARRUS,2023-01-01,2023-12-31,447
340004,HIGH POINT MEDICAL CENTER,2023-01-01,2023-12-31,288
340014,FORSYTH MEMORIAL HOSPITAL  INC,2023-01-01,2023-12-31,906
340021,ATRIUM HEALTH CLEVELAND,2023-01-01,2023-12-31,308
340047,NORTH CAROLINA BAPTIST HOSPITAL,2023-01-01,2023-12-31,813
340084,ATRIUM HEALTH ANSON,2023-01-01,2023-12-31,15
340190,NOVANT HEALTH MINT HILL MEDICAL CTR,2023-01-01,2023-12-31,36
344030,STRATEGIC BEHAVIORAL CENTER LELAND,2023-01-01,2023-12-31,40
360150,WESTERN RESERVE HOSPITAL,2023-01-01,2023-12-31,83
360239,KETTERING HEALTH MIAMISBURG,2023-01-01,2023-12-31,168
360245,GLENBEIGH HEALTH SOURCES,2023-01-01,2023-12-31,114
360270,MERCY HOSPITAL OF DEFIANCE  LLC,2023-01-01,2023-12-31,23
361304,GREENFIELD AREA MEDICAL CENTER,2023-01-01,2023-12-31,25
370212,OK CENTER FOR ORTHOPEDIC & MULTI,2023-01-01,2023-12-31,9
390116,SUBURBAN COMMUNITY HOSPITAL,2023-01-01,2023-12-31,111
390322,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPIT,2023-01-01,2023-12-31,24
410004,ROGER WILLIAMS MEDICAL CENTER,2023-01-01,2023-12-31,148
410005,OUR LADY OF FATIMA HOSPITAL,2023-01-01,2023-12-31,185
440020,SO TENN REG MED CTR OF PULASKI,2023-01-01,2023-12-31,81
450855,HARLINGEN MEDICAL CENTER,2023-01-01,2023-12-31,112
452091,TYLER CONTINUECARE HOSPITAL,2023-01-01,2023-12-31,51
454110,OCEANS BEHAV HOSP OF PERMIAN BASIN,2023-01-01,2023-12-31,62
460049,THE ORTHOPEDIC SPECIALTY HOSPITAL,2023-01-01,2023-12-31,14
500015,MULTICARE AUBURN MEDICAL CENTER,2023-01-01,2023-12-31,84
521337,ST CROIX REGIONAL MEDICAL CENTER,2023-07-01,2023-12-31,25
670285,KINGWOOD EMERGENCY HOSPITAL,2023-01-01,2023-12-31,6
30014,HONORHEALTH JOHN C. LINCOLN MED CTR,2023-01-01,2023-12-31,239
30087,HONORHEALTH SCOTTSDALE SHEA MED CTR,2023-01-01,2023-12-31,427
30092,HONORHEALTH DEER VALLEY MED CTR,2023-01-01,2023-12-31,204
41330,PIGGOTT COMMUNITY HOSPITAL,2023-01-01,2023-12-31,25
50723,KFH - BALDWIN PARK,2023-01-01,2023-12-31,271
50746,ORANGE COUNTY GLOBAL MEDICAL CENTER,2023-01-01,2023-12-31,254
60114,ADVENTHEALTH PARKER HOSPITAL,2023-01-01,2023-12-31,162
100176,PALM BEACH GARDENS,2023-01-01,2023-12-31,199
102021,BAYCARE ALLIANT HOSPITAL,2023-01-01,2023-12-31,48
120011,KFH-HAWAII,2023-01-01,2023-12-31,276
130063,TREASURE VALLEY HOSPITAL,2023-01-01,2023-12-31,28
150061,DAVIESS COMMUNITY HOSPITAL,2023-01-01,2023-12-31,42
152014,SSH - EVANSVILLE  LLC.,2023-01-01,2023-12-31,60
163026,MERCY IOWA CITY REHABILITATION HOSPI,2023-01-01,2023-12-31,40
190050,BEAUREGARD MEMORIAL HOSPITAL  INC.,2022-11-01,2023-10-31,49
190245,MONROE SURGICAL HOSPITAL,2023-01-01,2023-12-31,10
190259,LAFAYETTE SURGICAL SPECIALTY HOSPITA,2023-01-01,2023-12-31,20
190313,NEW ORLEANS EAST HOSPITAL,2023-01-01,2023-12-31,40
194080,BEACON BEH HOSP NORTHSHORE,2023-01-01,2023-12-31,22
210060,FORT WASHINGTON MEDICAL CENTER,2023-01-01,2023-12-31,34
240004,HENNEPIN COUNTY MEDICAL CENTER,2023-01-01,2023-12-31,347
241369,UNITED HOSPITAL DISTRICT,2023-01-01,2023-12-31,24
251323,OCHSNER SCOTT REGIONAL,2023-01-01,2023-12-31,25
252004,OCHSNER SPECIALTY HOSPITAL,2023-01-01,2023-12-31,49
310003,PALISADES MEDICAL CENTER,2023-01-01,2023-12-31,186
310028,NEWTON MEDICAL CENTER,2023-01-01,2023-12-31,139
310051,OVERLOOK MEDICAL CENTER,2023-01-01,2023-12-31,442
310054,MOUNTAINSIDE HOSPITAL,2023-01-01,2023-12-31,193
321301,SOCORRO GENERAL HOSPITAL,2023-01-01,2023-12-31,24
330100,NEW YORK EYE AND EAR INFIRMARY,2023-01-01,2023-12-31,15
330160,STATEN ISLAND UNIVERSITY HOSPITAL,2023-01-01,2023-12-31,544
330181,GLEN COVE HOSPITAL,2023-01-01,2023-12-31,57
330218,OSWEGO HOSPITAL,2023-01-01,2023-12-31,132
330307,CAYUGA MEDICAL CENTER AT ITHACA,2023-01-01,2023-12-31,89
330411,UNITY SPECIALITY HOSPITAL,2023-01-01,2023-12-31,
331313,SCHUYLER HOSPITAL,2023-01-01,2023-12-31,25
340049,NORTH CAROLINA SPECIALTY HOSPITAL,2023-01-01,2023-12-31,18
340064,WRMC HOSPITAL OPERATING CORPORATION,2023-01-01,2023-12-31,77
340096,LEXINGTON MEMORIAL HOSPITAL  INC.,2023-01-01,2023-12-31,70
340098,ATRIUM HEALTH PINEVILLE,2023-01-01,2023-12-31,352
340109,SENTARA ALBEMARLE REGL MED CTR LLC,2023-01-01,2023-12-31,98
340113,CAROLINAS MEDICAL CENTER,2023-01-01,2023-12-31,1191
340119,ATRIUM HEALTH STANLY,2023-01-01,2023-12-31,97
340130,ATRIUM HEALTH UNION,2023-01-01,2023-12-31,183
340145,ATRIUM HEALTH LINCOLN,2023-01-01,2023-12-31,101
340148,MEDICAL PARK HOSPITAL,2023-01-01,2023-12-31,22
340158,BRUNSWICK MEDICAL CENTER,2023-01-01,2023-12-31,65
340166,ATRIUM HEALTH UNIVERSITY CITY,2023-01-01,2023-12-31,104
341307,PENDER MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
343026,CAROLINAS REHABILITATION,2023-01-01,2023-12-31,150
344032,TRIANGLE SPRINGS,2023-01-01,2023-12-31,77
351326,FIRST CARE HEALTH CENTER,2023-01-01,2023-12-31,14
370206,OKLAHOMA SPINE HOSPITAL,2023-01-01,2023-12-31,23
380004,PROVIDENCE ST. VINCENT MEDICAL CTR,2023-01-01,2023-12-31,510
380060,ADVENTIST MEDICAL CENTER-PORTLAND,2023-01-01,2023-12-31,168
380061,PROVIDENCE PORTLAND MEDICAL CENTER,2023-01-01,2023-12-31,391
400115,HOSPITAL WILMA N VAZQUEZ,2023-01-01,2023-12-31,98
400132,DOCTORS CENTER HOSPITAL CAROLINA,2023-01-01,2023-12-31,109
430008,BROOKINGS HEALTH SYSTEM,2023-01-01,2023-12-31,49
450090,NORTH TEXAS MEDICAL CENTER,2023-01-01,2023-12-31,35
450834,THE PHYSICIAN CENTRE,2023-01-01,2023-12-31,16
450876,LUBBOCK HEART HOSPITAL,2023-01-01,2023-12-31,73
450891,PRESBYTERIAN PLANO CENTER DIAG SRVCS,2023-01-01,2023-12-31,18
451328,RICELAND MEDICAL CENTER,2023-01-01,2023-12-31,25
451349,SWISHER MEMORIAL HEALTHCARE SYSTEM,2023-01-01,2023-12-31,20
451370,TMC BONHAM HOSPITAL,2023-01-01,2023-12-31,25
451376,LAVACA MEDICAL CENTER,2023-01-01,2023-12-31,25
452087,SSH - LONGVIEW  INC.,2023-01-01,2023-12-31,32
454134,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,2023-01-01,2023-12-31,70
454141,PALMS BEHAVIORAL HEALTH,2023-01-01,2023-12-31,94
490063,INOVA FAIRFAX HOSPITAL,2023-01-01,2023-12-31,908
500024,PROVIDENCE ST. PETER HOSPITAL,2023-01-01,2023-12-31,302
531305,PLATTE COUNTY MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
670008,WEBSTER SURGICAL SPECIALTY HOSPITAL,2023-01-01,2023-12-31,20
670120,HOSPITALS OF PROV TRANSMOUNTAIN CAMP,2023-01-01,2023-12-31,108
673027,CENTRAL TEXAS REHABILITATION HOSPITA,2023-01-01,2023-12-31,50
673077,TEXAS REHABILITATION HOSPITAL OF KEL,2023-01-01,2023-12-31,36
10065,RUSSELL MEDICAL CENTER,2023-01-01,2023-12-31,45
10148,EVERGREEN MEDICAL CENTER,2023-01-01,2023-12-31,44
31314,COBRE VALLEY REG. MEDICAL CENTER,2023-01-01,2023-12-31,25
40114,BAPTIST HEALTH MEDICAL CENTER - LR,2023-01-01,2023-12-31,658
41333,SEVIER COUNTY MEDICAL CENTER,2023-08-07,2023-12-31,15
44021,WOODRIDGE OF WEST MEMPHIS LLC,2023-01-01,2023-12-31,
50008,CPMC-R.K. DAVIES MEDICAL CENTER,2023-01-01,2023-12-31,105
50014,SUTTER AMADOR HOSPITAL,2023-01-01,2023-12-31,52
50058,GLENDALE MEMORIAL HOSPITAL & HLTH CT,2023-01-01,2023-12-31,241
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CNTR,2023-01-01,2023-12-31,317
50073,KFH - VALLEJO,2023-01-01,2023-12-31,184
50075,KFH - OAKLAND,2023-01-01,2023-12-31,365
50076,KFH - SAN FRANCISCO,2023-01-01,2023-12-31,239
50099,SAN ANTONIO REGIONAL HOSPITAL,2023-01-01,2023-12-31,363
50121,ADVENTIST HEALTH HANFORD,2023-01-01,2023-12-31,235
50133,ADVENTIST HEALTH AND RIDEOUT,2023-01-01,2023-12-31,209
50135,SO CALIF HOSPITAL AT HOLLYWOOD,2023-01-01,2023-12-31,545
50137,KFH - PANORAMA CITY,2023-01-01,2023-12-31,218
50417,SUTTER COAST HOSPITAL,2023-01-01,2023-12-31,39
50528,MEMORIAL HOSPITAL - LOS BANOS,2023-01-01,2023-12-31,26
50561,KFH - WEST LOS ANGELES,2023-01-01,2023-12-31,265
50588,SAN DIMAS COMMUNITY HOSPITAL,2023-01-01,2023-12-31,101
50604,KFH- SAN JOSE,2023-01-01,2023-12-31,221
50609,KFH - OC-ANAHEIM,2023-01-01,2023-12-31,526
50674,KFH - SOUTH SACRAMENTO,2023-01-01,2023-12-31,233
50686,KFH - RIVERSIDE,2023-01-01,2023-12-31,225
50854,ANAHEIM COMMUNITY HOSPITAL,2023-02-03,2023-12-31,98
61301,RIO GRANDE HOSPITAL,2023-01-01,2023-12-31,17
61320,GUNNISON VALLEY HOSPITAL,2023-01-01,2023-12-31,20
63301,CHILDRENS HOSPITAL COLORADO,2023-01-01,2023-12-31,497
100055,ADVENTHEALTH - NORTH PINELLAS,2023-01-01,2023-12-31,136
100268,WEST BOCA MEDICAL CENTER,2023-01-01,2023-12-31,195
100284,WESTCHESTER GENERAL HOSPITAL,2023-01-01,2023-12-31,98
